Path:HepData/ggFttH_VBFVH_lvlv
profiled Likelihood
x: #mu^{f}_{ggF+ttH}
y: #mu^{f}_{VBF+VH}
z: -2 ln (#Lambda)
x	y	z	
1.97500000e+00	-6.32000000e-01	1.58039222e+01	
2.02500000e+00	-6.32000000e-01	1.61419918e+01	
2.07500000e+00	-6.32000000e-01	1.64905356e+01	
2.12500000e+00	-6.32000000e-01	1.68628262e+01	
2.17500000e+00	-6.32000000e-01	1.72227898e+01	
2.22500000e+00	-6.32000000e-01	1.76033096e+01	
2.27500000e+00	-6.32000000e-01	1.79922922e+01	
-1.75000000e-01	-5.20000000e-01	2.56289894e+01	
-1.25000000e-01	-5.20000000e-01	2.45479672e+01	
-7.50000000e-02	-5.20000000e-01	2.34953070e+01	
-2.50000000e-02	-5.20000000e-01	2.24786748e+01	
2.50000000e-02	-5.20000000e-01	2.14990154e+01	
7.50000000e-02	-5.20000000e-01	2.05586484e+01	
1.25000000e-01	-5.20000000e-01	1.96605390e+01	
1.75000000e-01	-5.20000000e-01	1.88036756e+01	
2.25000000e-01	-5.20000000e-01	1.79933208e+01	
2.75000000e-01	-5.20000000e-01	1.72293092e+01	
3.25000000e-01	-5.20000000e-01	1.65131594e+01	
3.75000000e-01	-5.20000000e-01	1.58357070e+01	
4.25000000e-01	-5.20000000e-01	1.52291842e+01	
4.75000000e-01	-5.20000000e-01	1.46610626e+01	
5.25000000e-01	-5.20000000e-01	1.41422188e+01	
5.75000000e-01	-5.20000000e-01	1.36726138e+01	
6.25000000e-01	-5.20000000e-01	1.32406396e+01	
6.75000000e-01	-5.20000000e-01	1.28775026e+01	
7.25000000e-01	-5.20000000e-01	1.25499654e+01	
7.75000000e-01	-5.20000000e-01	1.22666240e+01	
8.25000000e-01	-5.20000000e-01	1.20177424e+01	
8.75000000e-01	-5.20000000e-01	1.18231060e+01	
9.25000000e-01	-5.20000000e-01	1.16703672e+01	
9.75000000e-01	-5.20000000e-01	1.15540140e+01	
1.02500000e+00	-5.20000000e-01	1.14587520e+01	
1.07500000e+00	-5.20000000e-01	1.14094334e+01	
1.12500000e+00	-5.20000000e-01	1.13865868e+01	
1.17500000e+00	-5.20000000e-01	1.14078226e+01	
1.22500000e+00	-5.20000000e-01	1.14513786e+01	
1.27500000e+00	-5.20000000e-01	1.15229828e+01	
1.32500000e+00	-5.20000000e-01	1.16207058e+01	
1.37500000e+00	-5.20000000e-01	1.17400012e+01	
1.42500000e+00	-5.20000000e-01	1.18908552e+01	
1.47500000e+00	-5.20000000e-01	1.20673358e+01	
1.52500000e+00	-5.20000000e-01	1.22514848e+01	
1.57500000e+00	-5.20000000e-01	1.24719588e+01	
1.62500000e+00	-5.20000000e-01	1.26977616e+01	
1.67500000e+00	-5.20000000e-01	1.29394136e+01	
1.72500000e+00	-5.20000000e-01	1.32251118e+01	
1.77500000e+00	-5.20000000e-01	1.34914206e+01	
1.82500000e+00	-5.20000000e-01	1.37986086e+01	
1.87500000e+00	-5.20000000e-01	1.41128082e+01	
1.92500000e+00	-5.20000000e-01	1.44431522e+01	
1.97500000e+00	-5.20000000e-01	1.47793478e+01	
2.02500000e+00	-5.20000000e-01	1.51536210e+01	
2.07500000e+00	-5.20000000e-01	1.55266752e+01	
2.12500000e+00	-5.20000000e-01	1.58998470e+01	
2.17500000e+00	-5.20000000e-01	1.62825458e+01	
2.22500000e+00	-5.20000000e-01	1.66845118e+01	
2.27500000e+00	-5.20000000e-01	1.70979718e+01	
-1.75000000e-01	-4.08000000e-01	2.40125866e+01	
-1.25000000e-01	-4.08000000e-01	2.29349482e+01	
-7.50000000e-02	-4.08000000e-01	2.18863634e+01	
-2.50000000e-02	-4.08000000e-01	2.08743176e+01	
2.50000000e-02	-4.08000000e-01	1.98998170e+01	
7.50000000e-02	-4.08000000e-01	1.89651732e+01	
1.25000000e-01	-4.08000000e-01	1.80731616e+01	
1.75000000e-01	-4.08000000e-01	1.72236302e+01	
2.25000000e-01	-4.08000000e-01	1.64209932e+01	
2.75000000e-01	-4.08000000e-01	1.56654102e+01	
3.25000000e-01	-4.08000000e-01	1.49584696e+01	
3.75000000e-01	-4.08000000e-01	1.42945572e+01	
4.25000000e-01	-4.08000000e-01	1.36949364e+01	
4.75000000e-01	-4.08000000e-01	1.31383772e+01	
5.25000000e-01	-4.08000000e-01	1.26319048e+01	
5.75000000e-01	-4.08000000e-01	1.21754108e+01	
6.25000000e-01	-4.08000000e-01	1.17653876e+01	
6.75000000e-01	-4.08000000e-01	1.14086928e+01	
7.25000000e-01	-4.08000000e-01	1.10963330e+01	
7.75000000e-01	-4.08000000e-01	1.08288934e+01	
8.25000000e-01	-4.08000000e-01	1.06002328e+01	
8.75000000e-01	-4.08000000e-01	1.04223370e+01	
9.25000000e-01	-4.08000000e-01	1.02841082e+01	
9.75000000e-01	-4.08000000e-01	1.01844384e+01	
1.02500000e+00	-4.08000000e-01	1.01116854e+01	
1.07500000e+00	-4.08000000e-01	1.00811498e+01	
1.12500000e+00	-4.08000000e-01	1.00810804e+01	
1.17500000e+00	-4.08000000e-01	1.01172640e+01	
1.22500000e+00	-4.08000000e-01	1.01808722e+01	
1.27500000e+00	-4.08000000e-01	1.02728296e+01	
1.32500000e+00	-4.08000000e-01	1.03912760e+01	
1.37500000e+00	-4.08000000e-01	1.05349198e+01	
1.42500000e+00	-4.08000000e-01	1.07035188e+01	
1.47500000e+00	-4.08000000e-01	1.09000502e+01	
1.52500000e+00	-4.08000000e-01	1.11070290e+01	
1.57500000e+00	-4.08000000e-01	1.13482160e+01	
1.62500000e+00	-4.08000000e-01	1.15965834e+01	
1.67500000e+00	-4.08000000e-01	1.18626796e+01	
1.72500000e+00	-4.08000000e-01	1.21657360e+01	
1.77500000e+00	-4.08000000e-01	1.24821632e+01	
1.82500000e+00	-4.08000000e-01	1.27980916e+01	
1.87500000e+00	-4.08000000e-01	1.31211236e+01	
1.92500000e+00	-4.08000000e-01	1.34851706e+01	
1.97500000e+00	-4.08000000e-01	1.38308890e+01	
2.02500000e+00	-4.08000000e-01	1.42221566e+01	
2.07500000e+00	-4.08000000e-01	1.46142238e+01	
2.12500000e+00	-4.08000000e-01	1.50101954e+01	
2.17500000e+00	-4.08000000e-01	1.54148542e+01	
2.22500000e+00	-4.08000000e-01	1.58370910e+01	
2.27500000e+00	-4.08000000e-01	1.62872994e+01	
-1.75000000e-01	-2.96000000e-01	2.24680904e+01	
-1.25000000e-01	-2.96000000e-01	2.13957292e+01	
-7.50000000e-02	-2.96000000e-01	2.03529214e+01	
-2.50000000e-02	-2.96000000e-01	1.93471826e+01	
2.50000000e-02	-2.96000000e-01	1.83794680e+01	
7.50000000e-02	-2.96000000e-01	1.74521138e+01	
1.25000000e-01	-2.96000000e-01	1.65680504e+01	
1.75000000e-01	-2.96000000e-01	1.57269284e+01	
2.25000000e-01	-2.96000000e-01	1.49340736e+01	
2.75000000e-01	-2.96000000e-01	1.41883220e+01	
3.25000000e-01	-2.96000000e-01	1.34919748e+01	
3.75000000e-01	-2.96000000e-01	1.28440414e+01	
4.25000000e-01	-2.96000000e-01	1.22515252e+01	
4.75000000e-01	-2.96000000e-01	1.17076868e+01	
5.25000000e-01	-2.96000000e-01	1.12146618e+01	
5.75000000e-01	-2.96000000e-01	1.07722470e+01	
6.25000000e-01	-2.96000000e-01	1.03998046e+01	
6.75000000e-01	-2.96000000e-01	1.00354982e+01	
7.25000000e-01	-2.96000000e-01	9.73892420e+00	
7.75000000e-01	-2.96000000e-01	9.48784000e+00	
8.25000000e-01	-2.96000000e-01	9.27950480e+00	
8.75000000e-01	-2.96000000e-01	9.11885720e+00	
9.25000000e-01	-2.96000000e-01	8.99356380e+00	
9.75000000e-01	-2.96000000e-01	8.91231060e+00	
